Section,Page,Issue Statement,Safety trait(s),Comments,Reason
Volume I 3.1.1 Discussion and Required LERs,38,"Unit 2 LER 2021-001-00 was submitted on 9/20/2021, which documented that Emergency Diesel Generator (EDG) 2-3 operated at less than the required Technical Specification minimum frequency when started in automatic. Manual operation was not affected. Subsequent Engineering evaluation determined that the EDG had remained capable of performing its safety function.","Personal Accountability;
Problem Identification and Resolution;
Work Processes;",,
Volume I 3.1.1 Discussion and Required LERs,38,"Unit 2 LER 2021-002-00 was submitted on 12/14/2021, which documented that the Unit 2 reactor was manually tripped on October 15, 2021, in response to increasing water level in a secondary-side feedwater heater. Following shutdown of Unit 2, the feedwater heater was subsequently repaired, and Unit 2 was returned to service.",Problem Identification and Resolution;,,
Volumn I 3.4 DCISC Meetings with NRC Resident Inspectors,49,Feedwater heater forced outage,Work Processes;,,
Exhibit A (Documents Received by the DCISC),61,ODM Held on El on Unit1 due to main turbine governor valve 1 (FCV-142) Servo Positioner Controller (SPC1) Failing,Work Processes;,"Needs OCR, In table K",
Exhibit A (Documents Received by the DCISC),61,Unit 1 ASW Pump Motor 1-01 Ground Alarm,Problem Identification and Resolution;,"Needs OCR, In table M",
Exhibit A (Documents Received by the DCISC),63,Da-D/G 2-3 fuel leak,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),66,DA-Protection set IV loss of power,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),70,DA-Inadequate Clearance Boundary,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),70,DA-6/23/21 Drill: UDAC failure I.2.2,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),72,Emergency LAR for Multiple Gounds on ASW Pump 1-1 issue,Respectful Work Environment;,"Needs OCR, In table D",
Exhibit A (Documents Received by the DCISC),80,DA-DG 2-3 ISOC freq is out of limits,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),80,DA-Unit2: Inadvertent Blowdown Isolation,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),80,DA-D/G 2-3 fuel leak,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),83,DA-PAC 0-1 thru 0-3 turned off unexpectedly,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),86,Root Cause Change Request Backup Air Supply (potential issue),Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),90,"DA-First Aid : Discomfort forearm/wrist (uncertain, seems like personal injury)",Respectful Work Environment;,"Needs OCR, In table E",
